接收订单者码（全球）,接收订单者名称,订货者代码（全球）,订货者名称,建立日期,保税／征税分类,订单号,传票号码,零件代码,零件代码（全球）,零件名称,货币,单价,交货指示数量,订货金额,货期,数量单位,包装单位（常规）,包装单位（最小）,交货场所,保管场所,备注
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766438,153103,F6903-1N40  2,F6903-1N40,变压器支架,CNY,1.95,11100,21645,20121011,PC,150,150,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766438,153104,F6903-1N40  2,F6903-1N40,变压器支架,CNY,1.95,13350,26032.5,20121012,PC,150,150,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13, ,766439,153105,F6903BA00GP,F6903BA00GP,变压器支架,CNY,2.14,288,616.32,20120929,PC,144,144,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13, ,766439,153106,F6903BA00GP,F6903BA00GP,变压器支架,CNY,2.14,3168,6779.52,20121008,PC,144,144,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766440,153107,F6903BA00GP 2,F6903BA00GP,变压器支架,CNY,1.97,3888,7659.36,20120929,PC,144,144,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766440,153108,F6903BA00GP 2,F6903BA00GP,变压器支架,CNY,1.97,16848,33190.56,20121004,PC,144,144,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766440,153109,F6903BA00GP 2,F6903BA00GP,变压器支架,CNY,1.97,3456,6808.32,20121005,PC,144,144,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13, ,766442,153110,F6910BA00GP,F6910BA00GP,磁芯盖,CNY,0.25,300,75,20120929,PC,100,100,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13, ,766442,153111,F6910BA00GP,F6910BA00GP,磁芯盖,CNY,0.25,3100,775,20121005,PC,100,100,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766443,153112,F6910BA00GP 2,F6910BA00GP,磁芯盖,CNY,0.23,8700,2001,20120929,PC,100,100,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766443,153113,F6910BA00GP 2,F6910BA00GP,磁芯盖,CNY,0.23,16900,3887,20121004,PC,100,100,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766443,153114,F6910BA00GP 2,F6910BA00GP,磁芯盖,CNY,0.23,3400,782,20121005,PC,100,100,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13, ,766444,153115,F31057J72XP,F31057J72XP,门开关导向A,CNY,0.37,400,148,20121002,PC,1000,200,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766448,153118,F390L6P41SAG2,F390L6P41SAG,门U,CNY,69.5,363,25228.5,20120929,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766448,153119,F390L6P41SAG2,F390L6P41SAG,门U,CNY,69.5,473,32873.5,20121003,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766448,153120,F390L6P41SAG2,F390L6P41SAG,门U,CNY,69.5,715,49692.5,20121009,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766449,153121,F390L6P41SAG2,F390L6P41SAG,门U,CNY,69.5,261,18139.5,20121003,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766449,153122,F390L6P41SAG2,F390L6P41SAG,门U,CNY,69.5,714,49623,20121012,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766450,153123,F390L7X51SBP2,F390L7X51SBP,门U,CNY,56.02,520,29130.4,20121004,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766451,153124,F390L7X51SBP2,F390L7X51SBP,门U,CNY,56.02,463,25937.26,20121003,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766452,153125,F390L7X63HBP2,F390L7X63HBP,门U,CNY,37.68,517,19480.56,20121003,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766452,153126,F390L7X63HBP2,F390L7X63HBP,门U,CNY,37.68,582,21929.76,20121012,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766452,153127,F390L7X63HBP2,F390L7X63HBP,门U,CNY,37.68,581,21892.08,20121013,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766453,153128,F390L7X63HBP2,F390L7X63HBP,门U,CNY,37.68,68,2562.24,20121002,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766453,153129,F390L7X63HBP2,F390L7X63HBP,门U,CNY,37.68,224,8440.32,20121003,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766453,153130,F390L7X63HBP2,F390L7X63HBP,门U,CNY,37.68,765,28825.2,20121012,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766456,153131,F390L7X73SBP2,F390L7X73SBP,门U,CNY,49.51,735,36389.85,20120929,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766457,153132,F390L8D40SAH2,F390L8D40SAH,门U,CNY,62.57,1047,65510.79,20121002,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766458,153133,F390L8D61BAH2,F390L8D61BAH,门U,CNY,84.53,46,3888.38,20121003,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766459,153134,F390L8D61BAH2,F390L8D61BAH,门U,CNY,84.53,129,10904.37,20121002,PC,1,1,N3,SLD,PM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766460,153135,F390L8D61HAH2,F390L8D61HAH,门U,CNY,65.91,37,2438.67,20121003,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766461,153136,F390L8D71SAL2,F390L8D71SAL,门U,CNY,75.77,116,8789.32,20121003,PC,1,1,N3,SLD,AM
21012072,亚虹塑料,29122,上海松下微波炉,2.01209E+13,1,766462,153137,F390L8D80SAX2,F390L8D80SAX,门U,CNY,88.49,2,176.98,20120929,PC,1,1,N3,SLD,AM
